step,time,dt,P_dem_x,P_dem_y,P_dem_z,P_dpd_x,P_dpd_y,P_dpd_z,P_total_x,P_total_y,P_total_z,F_external_x,F_external_y,F_external_z,F_wall_x,F_wall_y,F_wall_z,F_dpd_to_dem_x,F_dpd_to_dem_y,F_dpd_to_dem_z,F_dem_to_dpd_x,F_dem_to_dpd_y,F_dem_to_dpd_z,F_coupling_residual_x,F_coupling_residual_y,F_coupling_residual_z,F_coupling_residual_norm,dP_total_dt_x,dP_total_dt_y,dP_total_dt_z,F_expected_x,F_expected_y,F_expected_z,momentum_balance_error_x,momentum_balance_error_y,momentum_balance_error_z,momentum_balance_error_norm
-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1,0.0001,0.0001,0.0,0.0,0.0,-2.710505431213761e-17,-4.052205619664573e-17,-7.643625316022806e-18,-2.710505431213761e-17,-4.052205619664573e-17,-7.643625316022806e-18,5.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.710505431213761e-13,-4.052205619664573e-13,-7.643625316022806e-14,nan,nan,nan,nan,nan,nan,nan
-1,0.009999999999999995,0.009899999999999996,0.0,0.0,0.0,-0.0013710552320576317,0.007197090050766877,0.002795985506820098,-0.0013710552320576317,0.007197090050766877,0.002795985506820098,5.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.13849042748056617,0.7269787930067597,0.28242277846667746,nan,nan,nan,nan,nan,nan,nan
-1,0.019999999999999934,0.00999999999999994,0.0,0.0,0.0,-0.00282171392826479,0.009445016192437872,0.004129360953627066,-0.00282171392826479,0.009445016192437872,0.004129360953627066,5.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.14506586962071671,0.2247926141671008,0.13333754468069758,nan,nan,nan,nan,nan,nan,nan
-1,0.029999999999999874,0.00999999999999994,0.0,0.0,0.0,0.004143680752060102,0.011523806625991409,0.004484238477861683,0.004143680752060102,0.011523806625991409,0.004484238477861683,5.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6965394680324934,0.207879043355355,0.035487752423461964,nan,nan,nan,nan,nan,nan,nan
-1,0.04000000000000012,0.010000000000000245,0.0,0.0,0.0,0.01041548689735704,0.014498414824775869,0.004568871236141734,0.01041548689735704,0.014498414824775869,0.004568871236141734,5.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6271806145296784,0.2974608198784387,0.008463275828004895,nan,nan,nan,nan,nan,nan,nan
-1,0.050000000000000405,0.010000000000000286,0.0,0.0,0.0,0.0149728517948304,0.01701197084144321,0.004507388901675396,0.0149728517948304,0.01701197084144321,0.004507388901675396,5.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.455736489747323,0.2513556016667271,-0.00614823344663364,nan,nan,nan,nan,nan,nan,nan
-1,0.06000000000000069,0.010000000000000286,0.0,0.0,0.0,0.01673870512381092,0.017998966978238173,0.004589914003677164,0.01673870512381092,0.017998966978238173,0.004589914003677164,5.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.17658533289804687,0.09869961367949329,0.008252510200176573,nan,nan,nan,nan,nan,nan,nan
-1,0.07000000000000098,0.010000000000000286,0.0,0.0,0.0,0.016996189905910418,0.018292276327907087,0.004720991327701476,0.016996189905910418,0.018292276327907087,0.004720991327701476,5.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.025748478209949115,0.029330934966890546,0.013107732402430823,nan,nan,nan,nan,nan,nan,nan
-1,0.08000000000000126,0.010000000000000286,0.0,0.0,0.0,0.017001952833583033,0.018413730295631744,0.004819819148245965,0.017001952833583033,0.018413730295631744,0.004819819148245965,5.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0005762927672615076,0.01214539677246544,0.00988278205444864,nan,nan,nan,nan,nan,nan,nan
